Exercise,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms,Grip,Load Position (Ending),Foot Elevation,Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Primary Exercise Classification,foundationalScore,exerciseTier,isFoundational,classificationTags
Single Arm Dumbbell Side Plank Reach Through ,Video Demonstration,,Advanced,Abdominals,Obliques,Rectus Abdominis,,Dumbbell,1.0,None,0,Side Plank,Single Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Anti-Lateral Flexion,Spinal Rotational,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*,75,2,False,"advanced,compound,dumbbell,midsection"
Ab Wheel Kneeling Rollout,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Ab Wheel,1.0,None,0,Prone,Double Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,66,2,False,"ab-wheel,compound,midsection,novice"
Cable Seated Crunch,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Cable,1.0,Bench (Flat),1,Seated,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Isolation,Bilateral,Unsorted*,61,2,False,"cable,isolation,midsection,novice"
Cable Kneeling Crunch,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Cable,1.0,None,0,Kneeling,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Isolation,Bilateral,Unsorted*,61,2,False,"cable,isolation,midsection,novice"
Medicine Ball V Up,,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Medicine Ball,1.0,None,0,Supine,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,66,2,False,"compound,medicine-ball,midsection,novice"
Suspension Knee Tuck,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Suspension Trainer,1.0,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Feet Elevated,Single Exercise,Spinal Flexion,Anti-Extension,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,61,2,False,"compound,midsection,novice,suspension-trainer"
Suspension Lateral Knee Tuck,Video Demonstration,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,,,Suspension Trainer,1.0,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Feet Elevated,Single Exercise,Rotational,Spinal Flexion,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,68,2,False,"compound,intermediate,midsection,suspension-trainer"
Bodyweight Push Up to Alternating Kick Through,Video Demonstration,,Intermediate,Chest,Pectoralis Major,Rectus Abdominis,,Bodyweight,1.0,None,0,Prone,Double Arm,Alternating,Flat Palm,No Load,No Elevation,Combo Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Animal Flow,90,1,True,"big-5,bodyweight,compound,intermediate,upper-body"
Single Arm Dumbbell Turkish Get Up,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Dumbbell,1.0,None,0,Supine,Single Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Rotational,,,Transverse Plane,Sagittal Plane,,Full Body,Other,Compound,Unilateral,Unsorted*,87,2,False,"compound,dumbbell,full-body,intermediate"
Bodyweight Bear Crawl,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Bodyweight,1.0,None,0,Knee Hover Quadruped,Double Arm,Alternating,Flat Palm,No Load,No Elevation,Single Exercise,,,,Sagittal Plane,,,Midsection,Other,Compound,Contralateral,Animal Flow,79,2,False,"bodyweight,compound,midsection,novice"
Stability Ball Knee Tuck,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Stability Ball,1.0,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Feet Elevated,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,66,2,False,"compound,midsection,novice,stability-ball"
Ring Hanging Leg Raise ,Video Demonstration,,Advanced,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2.0,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics,58,3,False,"advanced,compound,gymnastic-rings,midsection"
Parallette L Sit,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,,,Parallette Bars,2.0,None,0,L Sit,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics,63,2,False,"advanced,compound,midsection,parallette-bars"
Bodyweight Standing Walkout Plank,Video Demonstration,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,,,Bodyweight,1.0,None,0,Standing,Double Arm,Alternating,Flat Palm,No Load,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics,83,2,False,"bodyweight,compound,intermediate,midsection"
Bodyweight Standing Walkout Push Up ,Video Demonstration,,Intermediate,Chest,Pectoralis Major,Rectus Abdominis,,Bodyweight,1.0,None,0,Prone,Double Arm,Alternating,Flat Palm,No Load,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Unsorted*,93,1,True,"big-5,bodyweight,compound,intermediate,upper-body"
Barbell Climb,,Video Explanation,Expert,Abdominals,Rectus Abdominis,,,Barbell,1.0,None,0,Standing,Double Arm,Alternating,Neutral,No Load,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Calisthenics,78,2,False,"barbell,compound,expert,midsection"
Bodyweight Ipsilateral Bird Dog,Video Demonstration,,Expert,Abdominals,Rectus Abdominis,,,Bodyweight,1.0,None,0,Quadruped,Single Arm,Continuous,Flat Palm,No Load,No Elevation,Single Exercise,Anti-Rotational,,,Sagittal Plane,,,Midsection,Other,Compound,Ipsilateral,Unsorted*,81,2,False,"bodyweight,compound,expert,midsection"
Bodyweight Copenhagen Plank Knee to Elbow,Video Demonstration,,Advanced,Adductors,Adductor Magnus,,,Bodyweight,1.0,Bench (Flat),1,Side Plank,Single Arm,Continuous,Forearm,No Load,Foot Elevated (Side),Single Exercise,Anti-Lateral Flexion,,,Transverse Plane,,,Lower Body,Other,Compound,Unilateral,Unsorted*,75,2,False,"advanced,bodyweight,compound,lower-body"
Ring Dead Hang,Video Demonstration,,Beginner,Back,Latissimus Dorsi,,,Gymnastic Rings,2.0,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Upper Body,Other,Compound,Bilateral,Calisthenics,73,2,False,"beginner,compound,gymnastic-rings,upper-body"
Suspension Archer Row ,Video Demonstration,,Novice,Shoulders,Posterior Deltoids,,,Suspension Trainer,1.0,None,0,Standing,Double Arm,Alternating,Neutral,No Load,No Elevation,Single Exercise,Horizontal Pull,,,Frontal Plane,,,Upper Body,Pull,Compound,Unilateral,Unsorted*,68,2,False,"compound,novice,suspension-trainer,upper-body"
Ring Eccentric Pull Up,Video Demonstration,,Novice,Back,Latissimus Dorsi,,,Gymnastic Rings,2.0,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics,71,2,False,"compound,gymnastic-rings,novice,upper-body"
Ring Pull Up,Video Demonstration,,Intermediate,Back,Latissimus Dorsi,,,Gymnastic Rings,2.0,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics,73,2,False,"compound,gymnastic-rings,intermediate,upper-body"
Ring Eccentric Chin Up,Video Demonstration,Video Explanation,Novice,Biceps,Biceps Brachii,Latissimus Dorsi,,Gymnastic Rings,2.0,None,0,Hanging,Double Arm,Continuous,Supinated,No Load,No Elevation,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics,71,2,False,"compound,gymnastic-rings,novice,upper-body"
Miniband Fire Hydrant,Video Demonstration,,Beginner,Glutes,Gluteus Maximus,Gluteus Medius,Gluteus Minimus,Miniband,1.0,None,0,Quadruped,No Arms,Continuous,Flat Palm,No Load,No Elevation,Single Exercise,Hip External Rotation,,,Transverse Plane,,,Lower Body,Other,Isolation,Unilateral,Bodybuilding,70,2,False,"beginner,isolation,lower-body,miniband"
Medicine Ball Russian Twist,Video Demonstration,Video Explanation,Novice,Abdominals,Obliques,Rectus Abdominis,,Medicine Ball,1.0,None,0,Seated Floor,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,71,2,False,"compound,medicine-ball,midsection,novice"
Bodyweight Side Plank,Video Demonstration,Video Explanation,Novice,Abdominals,Obliques,Rectus Abdominis,,Bodyweight,1.0,None,0,Side Plank,Single Arm,Continuous,Forearm,No Load,No Elevation,Single Exercise,Anti-Lateral Flexion,,,Frontal Plane,,,Midsection,Other,Compound,Unilateral,Calisthenics,78,2,False,"bodyweight,compound,midsection,novice"
Cable Reverse Crunch,Video Demonstration,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,,,Cable,1.0,None,0,Supine,No Arms,Continuous,No Grip,Other,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,73,2,False,"cable,compound,intermediate,midsection"
Cable Rope Half Kneeling High to Low Chop,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Cable,1.0,None,0,Half Kneeling,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,78,2,False,"cable,compound,intermediate,midsection"
Cable Rope Half Kneeling Low to High Chop,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Cable,1.0,None,0,Half Kneeling,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,78,2,False,"cable,compound,intermediate,midsection"
Slider Double Kettlebell Bottoms Up Overhead Lateral Lunge,,,Advanced,Adductors,Adductor Magnus,,,Sliders,1.0,Kettlebell ,2,Standing,Double Arm,Continuous,Bottoms Up,Overhead,No Elevation,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding,55,3,False,"advanced,compound,lower-body,sliders"
Cable Rope Staggered Stance High to Low Chop ,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Cable,1.0,None,0,Staggered Stance,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,78,2,False,"cable,compound,intermediate,midsection"
Cable Rope Staggered Stance Low to High Chop,,,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Cable,1.0,None,0,Staggered Stance,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,78,2,False,"cable,compound,intermediate,midsection"
Single Arm Dumbbell Windmill,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,,,Dumbbell,1.0,None,0,Standing,Single Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*,85,2,False,"compound,dumbbell,intermediate,midsection"
Slider Double Kettlebell Bottoms Up Front Rack Lateral Lunge,,,Intermediate,Adductors,Adductor Magnus,,,Sliders,1.0,Kettlebell ,2,Standing,Double Arm,Continuous,Bottoms Up,Front Rack,No Elevation,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding,60,2,False,"compound,intermediate,lower-body,sliders"
Slider Double Kettlebell Front Rack Lateral Lunge,,,Novice,Adductors,Adductor Magnus,,,Sliders,1.0,Kettlebell ,2,Standing,Double Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding,58,3,False,"compound,lower-body,novice,sliders"
Bodyweight Feet On Wall Mountain Climber ,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,,,Bodyweight,1.0,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Feet Elevated,Single Exercise,Anti-Extension,Spinal Flexion,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Calisthenics,75,2,False,"advanced,bodyweight,compound,midsection"
Slider Double Kettlebell Suitcase Reverse Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1.0,Kettlebell ,2,Standing,Double Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,58,3,False,"compound,lower-body,novice,sliders"
Bodyweight Hollow Body Hold,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Bodyweight,1.0,None,0,Supine,Double Arm,Continuous,No Grip,No Load,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,86,2,False,"bodyweight,compound,midsection,novice"
Dumbbell Crush Grip Hollow Body Hold,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,,Dumbbell,1.0,None,0,Supine,Double Arm,Continuous,Crush Grip,Other,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,88,2,False,"compound,dumbbell,intermediate,midsection"
Bar Inverted Hanging Crunch,Video Demonstration,Video Explanation,Expert,Abdominals,Rectus Abdominis,,,Pull Up Bar,1.0,None,0,Inverted ,No Arms,Continuous,Head Supported,No Load,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,81,2,False,"compound,expert,midsection,pull-up-bar"
Bodyweight Inverted Hanging Oblique Crunch,,,Expert,Abdominals,Obliques,,,Bodyweight,1.0,None,0,Inverted ,No Arms,Continuous,Head Supported,No Load,No Elevation,Single Exercise,Rotational,Spinal Flexion,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,86,2,False,"bodyweight,compound,expert,midsection"
Slider Double Kettlebell Front Rack Reverse Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1.0,Kettlebell ,2,Standing,Double Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding,58,3,False,"compound,lower-body,novice,sliders"
Bodyweight Supine Alternating Single Leg Raise,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,,,Bodyweight,1.0,None,0,Supine,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*,85,2,False,"beginner,bodyweight,compound,midsection"
Bodyweight Supine Leg Raise,Video Demonstration,,Novice,Abdominals,Rectus Abdominis,,,Bodyweight,1.0,None,0,Supine,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,81,2,False,"bodyweight,compound,midsection,novice"
Miniband Bicycle Crunch,Video Demonstration,Video Explanation,Novice,Abdominals,Obliques,Rectus Abdominis,,Miniband,1.0,None,0,Supine,No Arms,Alternating,Head Supported,No Load,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*,73,2,False,"compound,midsection,miniband,novice"
Bodyweight Side Plank Reach Through,Video Demonstration,Video Explanation,Novice,Abdominals,Obliques,Rectus Abdominis,,Bodyweight,1.0,None,0,Side Plank,Single Arm,Continuous,Forearm,No Load,No Elevation,Single Exercise,Anti-Lateral Flexion,Spinal Rotational,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,Calisthenics,78,2,False,"bodyweight,compound,midsection,novice"
Bodyweight Sit Up,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Bodyweight,1.0,None,0,Supine,No Arms,Continuous,Head Supported,No Load,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,81,2,False,"bodyweight,compound,midsection,novice"
Bodyweight Butterfly Sit Up,Video Demonstration,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,,,Bodyweight,1.0,None,0,Supine,No Arms,Continuous,Head Supported,No Load,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,83,2,False,"bodyweight,compound,intermediate,midsection"
Slider Mountain Climber,Video Demonstration,Video Explanation,Novice,Abdominals,Rectus Abdominis,,,Sliders,2.0,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,No Elevation,Single Exercise,Anti-Extension,Spinal Flexion,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*,58,3,False,"compound,midsection,novice,sliders"
Slider Pike ,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,,,Sliders,2.0,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,58,3,False,"advanced,compound,midsection,sliders"
Stability Ball Pike,Video Demonstration,Video Explanation,Advanced,Abdominals,Rectus Abdominis,,,Stability Ball,1.0,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Feet Elevated,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,63,2,False,"advanced,compound,midsection,stability-ball"
Slider Wide Mountain Climber,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,,Sliders,2.0,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,No Elevation,Single Exercise,Anti-Extension,Spinal Flexion,,Frontal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*,60,2,False,"compound,intermediate,midsection,sliders"
Stability Ball Crunch,Video Demonstration,Video Explanation,Beginner,Abdominals,Rectus Abdominis,,,Stability Ball,1.0,None,0,Supine,No Arms,Continuous,Head Supported,No Load,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*,73,2,False,"beginner,compound,midsection,stability-ball"
